ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アフリカ,Somalia,5.1,0.1,5.7,4.4,18.2,9.2,4.1,12.5,0,6.6,10.5,29.1,0,0.8,9.3,0,31.6,0,5.9,25.9,8.8,62.3,59.3,0,2.4,309.5,2.4,178.8,490.7
アフリカ,South Africa,3.5,1.2,15.3,16.5,21.8,5.5,21.1,74.8,0.9,8.1,0.3,8.2,0.3,0.4,36,1,24.7,0,1.1,14.3,6.7,72.6,529.5,0,0.4,864,0.4,215.3,1079.8
アフリカ,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アフリカ,St. Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,0,0,0,53.7,0,0,53.7
アフリカ,Sudan,10.2,0.4,13.5,108.3,37.8,21.6,10.8,39.2,1,14,12.8,119.1,1.6,2.5,86.7,0,116.7,0,23,60.7,15.8,119.3,726.3,9.4,52.4,1541.1,61.8,499.2,2102.1
アフリカ,Swaziland,0.3,0,0,0.8,0.3,0.2,0.2,0.3,0,0,0.4,4.4,0.2,0.7,0,0,1.6,0,0,0,0,0,24,1.2,0,33.3,1.2,63.1,97.7
アフリカ,Tanzania,6,0.9,25.5,111.6,129.4,47.9,22.4,134.5,0.1,49.5,5.2,104.6,21.5,0,59.2,0.9,123.9,0,3.2,95.8,17.2,241.9,457.4,0,6.9,1658.8,6.9,1280.6,2946.3
アフリカ,Togo,0.1,0.7,5,23,1.3,0.4,171.9,8.8,0,0.1,11.5,8.2,0.1,0.8,17.6,0,0.1,0,1.6,0.3,1,0,4,0,0.2,256.8,0.2,288.4,545.5
アフリカ,Uganda,2.5,14.4,29.2,5.7,81.2,5.9,4.1,41.1,0.2,57.7,11.4,71.2,1.9,0.3,36.6,0,71.4,0,5.4,43.3,1,180.1,378.1,0,0.2,1042.8,0.2,674.7,1717.7
アフリカ,Zambia,2,0,3.6,8.7,25.3,21.7,0.8,34.6,0,32.7,1.4,46.1,0.6,0,36.3,1.3,54.1,0,0.2,21.9,0.4,79.3,225.1,0,0,596.1,0,325.7,921.8
